Price,# Bedroom,# Bathroom,size(square feet),homeType,address,Date,Today
"$495,000",2,1,8,-,"100 Park Ter W APT 4L, New York, NY 10034",NAN,2021-10-19
"$269,900",1,1,7,-,"740 E 32nd St, Brooklyn, NY 11210",NAN,2021-10-19
"$1,250,000",7,4,4,-,"3233 Lafayette Ave, Bronx, NY 10465",NAN,2021-10-19
"$249,999",1,1,7,-,"406 Maryland Ave APT 1C, Staten Island, NY 10305",NAN,2021-10-19
"$1,199,000",3,1,1,-,"289 Bay 13th St, Brooklyn, NY 11214",NAN,2021-10-19
"$2,200,000",NAN,NAN,NAN,NAN,"716 E 32nd St, Brooklyn, NY 11210",NAN,2021-10-19
"$675,000",4,2,-,-,"191-44 115th Ave, Saint Albans, NY 11412",NAN,2021-10-19
"$395,000",2,1,8,-,"143-39 Barclay Ave #A-2, Flushing, NY 11355",NAN,2021-10-19
"$299,000",1,1,7,-,"2234 Ocean Ave #12C, Brooklyn, NY 11229",NAN,2021-10-19
"$1,855,000",2,2,1,-,"11 Hoyt St APT 20E, Brooklyn, NY 11201",NAN,2021-10-19
"$1,249,000",2,2,8,-,"516 W 47th St APT N7B, New York, NY 10036",NAN,2021-10-19
"$669,000",1,1,7,-,"303 W 66th St #9D, New York, NY 10023",NAN,2021-10-19
"$1,100,000",1,1,9,-,"329 W 108th St APT 3C, New York, NY 10025",NAN,2021-10-19
"$770,000",3,2,1,-,"1333 E 49th St, Brooklyn, NY 11234",NAN,2021-10-19
"$575,000",1,1,6,-,"735 Lafayette Ave #2A, Brooklyn, NY 11221",NAN,2021-10-19
"$2,800,000",6,7,3,-,"551 Saint Marks Ave FLOOR 2, Brooklyn, NY 11216",NAN,2021-10-19
"$2,320,000",2,2,1,-,"206 Front St PENTHOUSE B, Brooklyn, NY 11201",NAN,2021-10-19
"$499,000",S,1,6,-,"735 Lafayette Ave #4A, Brooklyn, NY 11221",NAN,2021-10-19
"$1,195,000",S,-,1,-,"246 Sherman St, Brooklyn, NY 11218",NAN,2021-10-19
"$545,000",3,2,1,-,"1062 Hendrix St, Brooklyn, NY 11207",NAN,2021-10-19
"$1,075,000",3,2,1,-,"2259 E 18th St, Brooklyn, NY 11229",NAN,2021-10-19
"$6,500,000",3,4,1,-,"111 Murray St #42A, New York, NY 10007",NAN,2021-10-19
"$1,900,000",3,2,7,-,"139 Pacific St APT 4, Brooklyn, NY 11201",NAN,2021-10-19
"$4,125,000",6,6,4,-,"92 Monroe St, Brooklyn, NY 11216",NAN,2021-10-19
"$450,000",S,1,-,-,"176 E 77th St APT 11A, New York, NY 10075",NAN,2021-10-19
"$3,695,000",3,4,-,-,"650 Park Ave APT 11F, New York, NY 10065",NAN,2021-10-19
"$500,000",1,1,8,-,"65-50 Wetherole St #2H, Rego Park, NY 11374",NAN,2021-10-19
"$859,000",S,1,4,-,"222 W 14th St APT 13C, New York, NY 10011",NAN,2021-10-19
"$635,000",2,2,8,-,"7009 45th Ave #3D, Woodside, NY 11377",NAN,2021-10-19
"$1,695,000",2,3,-,-,"425 E 58th St APT 38B, New York, NY 10022",NAN,2021-10-19
"$13,900,000",5,3,-,-,"271 Central Park W #9E, New York, NY 10024",NAN,2021-10-19
"$3,950,000",2,3,1,-,"404 Park Ave S APT 11C, New York, NY 10016",NAN,2021-10-19
"$835,000",1,1,6,-,"5-19 Borden Ave APT 7G, Long Island City, NY 11101",NAN,2021-10-19
"$799,000",1,1,6,-,"215 W 75th St APT 9A, New York, NY 10023",NAN,2021-10-19
"$3,295,000",3,3,2,-,"161 W 61st St #26FG, New York, NY 10023",NAN,2021-10-19
"$20,000,000",5,9,6,-,"1 W 72nd St #82-84, New York, NY 10023",NAN,2021-10-19
"$1,250,000",1,1,8,-,"400 Central Park W APT 3N, New York, NY 10025",NAN,2021-10-19
"$765,000",3,2,1,-,"2876 Zulette Ave, Bronx, NY 10461",NAN,2021-10-19
"$499,000",-,2,-,-,"220 Brighton 1st Ct, Brooklyn, NY 11235",NAN,2021-10-19
"$1,549,000",5,3,-,-,"18907 35th Ave, Flushing, NY 11358",NAN,2021-10-19
